Month,giant_panda,grizzly_bear,polar_bear
2004-01,28,27,75
2004-02,16,29,62
2004-03,31,23,43
2004-04,27,NaN,47
2004-05,24,NaN,47
2004-06,7,NaN,22
2004-07,0,12,18
2004-08,NaN,9,17
2004-09,12,25,30
2004-10,14,22,40
2004-11,13,27,35
2004-12,6,27,57
2005-01,17,17,66
2005-02,14,30,57
2005-03,12,22,44
2005-04,19,37,47
2005-05,22,35,NaN
2005-06,7,21,22
2005-07,10,12,15
2005-08,7,15,16
2005-09,10,18,23
2005-10,20,17,36
2005-11,17,27,41
2005-12,15,18,50
2006-01,13,23,59
2006-02,14,26,55
2006-03,17,25,48
2006-04,18,22,NaN
2006-05,22,48,NaN
2006-06,8,20,31
2006-07,6,18,22
2006-08,3,13,20
2006-09,13,18,34
2006-10,9,21,43
2006-11,9,17,39
2006-12,6,18,54
2007-01,9,27,61
2007-02,8,24,51
2007-03,12,23,100
2007-04,12,22,85
2007-05,14,27,63
2007-06,9,21,35
2007-07,2,13,28
2007-08,6,17,25
2007-09,5,18,32
2007-10,9,22,48
2007-11,9,25,49
2007-12,6,19,62
2008-01,7,17,88
2008-02,9,19,60
2008-03,8,NaN,57
2008-04,11,20,60
2008-05,15,20,72
2008-06,6,13,35
2008-07,NaN,18,26
2008-08,5,17,30
2008-09,5,18,43
2008-10,7,21,48
2008-11,7,19,45
2008-12,8,18,55
2009-01,8,21,62
2009-02,5,24,52
2009-03,10,30,49
2009-04,9,26,95
2009-05,10,44,51
2009-06,4,36,25
2009-07,2,26,22
2009-08,3,29,23
2009-09,6,33,29
2009-10,4,38,37
2009-11,6,29,41
2009-12,6,28,49
2010-01,5,26,49
2010-02,7,27,42
2010-03,6,24,38
2010-04,7,25,39
2010-05,9,31,47
2010-06,3,16,25
2010-07,2,17,17
2010-08,2,18,19
2010-09,4,19,28
2010-10,4,19,32
2010-11,5,20,33
2010-12,4,19,40
2011-01,4,21,44
2011-02,5,21,41
2011-03,5,19,73
2011-04,6,20,41
2011-05,7,20,39
2011-06,3,15,29
2011-07,2,19,22
2011-08,2,17,27
2011-09,3,NaN,31
2011-10,3,20,34
2011-11,4,16,39
2011-12,4,18,72
2012-01,4,19,57
2012-02,4,19,47
2012-03,5,19,43
2012-04,6,21,42
2012-05,6,21,41
2012-06,3,22,27
2012-07,2,19,25
2012-08,2,26,24
2012-09,7,32,31
2012-10,5,23,35
2012-11,5,19,37
2012-12,5,20,44
2013-01,5,20,54
2013-02,5,21,44
2013-03,4,19,47
2013-04,5,22,42
2013-05,5,25,46
2013-06,3,20,27
2013-07,4,17,27
2013-08,5,20,28
2013-09,7,17,32
2013-10,7,18,36
2013-11,7,19,50
2013-12,6,19,50
2014-01,7,19,64
2014-02,6,19,49
2014-03,4,19,42
2014-04,6,20,37
2014-05,7,21,40
2014-06,3,17,26
2014-07,2,19,29
2014-08,3,17,25
2014-09,3,16,29
2014-10,4,16,26
2014-11,5,20,38
2014-12,4,18,42
2015-01,4,19,49
2015-02,5,17,43
2015-03,5,19,38
2015-04,6,19,37
2015-05,6,22,NaN
2015-06,3,19,36
2015-07,2,18,32
2015-08,6,24,31
2015-09,6,21,35
2015-10,6,20,37
2015-11,7,21,44
2015-12,5,21,52
2016-01,7,23,63
2016-02,7,21,61
2016-03,7,20,43
2016-04,6,23,46
2016-05,7,31,48
2016-06,4,21,37
2016-07,3,20,31
2016-08,2,19,27
2016-09,8,20,33
2016-10,5,23,37
2016-11,4,19,57
2016-12,5,20,50
2017-01,4,26,53
2017-02,6,22,43
2017-03,5,20,39
2017-04,5,19,38
2017-05,7,25,42
2017-06,3,19,26
2017-07,3,21,26
2017-08,2,22,25
2017-09,3,17,26
2017-10,3,20,29
2017-11,4,19,34
2017-12,4,17,52
2018-01,4,18,48
2018-02,4,16,39
2018-03,4,19,36
2018-04,4,21,37
2018-05,5,21,36
2018-06,3,22,25
2018-07,3,21,27
2018-08,2,21,25
2018-09,3,23,27
2018-10,3,24,30
2018-11,5,24,35
2018-12,3,24,43
2019-01,5,23,49
2019-02,5,21,45
2019-03,4,21,39
2019-04,4,19,38
2019-05,4,21,36
2019-06,5,20,28
2019-07,2,19,24
2019-08,2,19,26
2019-09,3,23,26
2019-10,3,19,30
2019-11,4,20,34
2019-12,3,22,42
2020-01,NaN,20,41
2020-02,3,19,38
2020-03,14,19,32
2020-04,16,19,33
2020-05,5,20,32
2020-06,3,23,22
2020-07,3,24,21
2020-08,6,22,26
2020-09,5,22,27
2020-10,7,21,25
2020-11,7,18,28
2020-12,6,18,35
2021-01,6,18,37
2021-02,7,18,41
2021-03,6,15,26
2021-04,4,20,28
2021-05,4,20,26
2021-06,3,23,24
2021-07,4,24,20
2021-08,3,20,23
2021-09,3,19,21
2021-10,3,17,21
2021-11,3,17,26
2021-12,3,17,29
2022-01,3,20,34
2022-02,4,17,28
2022-03,4,21,26
2022-04,5,20,34
2022-05,5,24,35
2022-06,NaN,NaN,NaN
2022-07,3,31,25
2022-08,2,26,26