Year,Month,Sales,,,,
2013,Feb,416603,,,,
2013,Mar,413848,,,,
2013,Apr,412655,,,,
2013,May,414182,,,,
2013,Jun,415777,,,,
2013,Jul,418222,,,,
2013,Aug,417503,,,,
2013,Sep,417565,,,,
2013,Oct,419693,,,,
2013,Nov,421033,,,,
2013,Dec,423005,,,,
2014,Jan,418800,,,,
2014,Feb,424117,,,,
2014,Mar,429720,,,,
2014,Apr,433675,,,,
2014,May,434334,,,,
2014,Jun,435094,,,,
2014,Jul,435688,,,,
2014,Aug,439554,,,,
2014,Sep,438687,,,,
2014,Oct,440396,,,,
2014,Nov,442106,,,,
2014,Dec,439323,,,,
2015,Jan,435929,,,,
2015,Feb,434153,,,,
2015,Mar,442225,,,,
2015,Apr,442183,,,,
2015,May,446238,,,,
2015,Jun,446238,,,,
2015,Jul,449403,,,,
2015,Aug,449592,,,,
2015,Sep,449496,,,,
2015,Oct,448616,,,,
2015,Nov,450509,,,,
2015,Dec,452756,,,,
2016,Jan,448171,,,,
2016,Feb,451209,,,,
2016,Mar,451274,,,,
2016,Apr,454231,,,,
2016,May,455753,,,,
2016,Jun,460563,,,,
2016,Jul,459744,,,,
2016,Aug,460198,,,,
2016,Sep,463045,,,,
2016,Oct,465368,,,,
2016,Nov,466974,,,,
2016,Dec,470996,,,,
2017,Jan,473464,,,,
2017,Feb,472513,,,,
2017,Mar,472991,,,,
2017,Apr,474547,,,,
2017,May,474760,,,,
2017,Jun,474488,,,,
2017,Jul,476752,,,,
2017,Aug,476513,,,,
2017,Sep,485419,,,,
2017,Oct,486553,,,,